16 60
0 15 102
0 8 1441
0 6 2840
1 5 2193
1 12 2908
1 10 1002
1 14 3227
2 15 2165
2 9 2886
2 7 1597
2 3 123
2 10 2994
3 15 980
3 14 899
3 7 430
3 1 1125
4 15 2132
4 0 3120
4 5 2566
4 7 2009
5 1 972
5 8 47
5 7 3727
5 13 193
6 0 603
6 5 1922
6 4 3391
7 11 2028
7 12 3123
7 10 739
7 9 4081
8 3 3224
8 0 2180
8 9 2824
10 1 1320
10 6 991
10 15 3825
11 6 451
11 12 3156
11 8 2614
11 1 2047
11 3 3278
11 2 1512
11 0 3026
12 15 81
12 10 1941
12 6 54
13 10 2212
13 6 964
13 11 2620
13 8 124
13 9 1935
13 12 2666
13 3 3850
14 12 2127
14 0 3268
14 13 1675
14 8 1421
15 13 1199
15 0 702
